training_err,validation_err
8.814095497131348,8.812437057495117
8.766251564025879,8.766119956970215
8.463080406188965,8.4559907913208
7.793006896972656,7.794456958770752
7.255272388458252,7.273985862731934
6.9453206062316895,7.001940727233887
6.982418537139893,7.022866249084473
6.980193138122559,7.142190933227539
6.889369964599609,6.876316070556641
6.946021556854248,6.995293140411377
6.985118865966797,7.024869918823242
6.897188663482666,6.809988498687744
6.945335865020752,7.067139148712158
6.853185653686523,7.064728260040283
7.007691860198975,7.158499717712402
6.967321395874023,7.10349702835083
6.868239402770996,6.891083717346191
6.92199182510376,7.007528305053711
7.011308670043945,6.955261707305908
6.929044246673584,7.125986099243164
6.785994529724121,6.918209075927734
6.8753790855407715,6.938566207885742
6.729089736938477,7.055642127990723
6.725411415100098,6.847240447998047
6.883625030517578,6.894656658172607
6.750736713409424,7.026542663574219
6.734683036804199,6.8695292472839355
6.829052448272705,6.820426940917969
7.013701438903809,7.066849231719971
6.890520095825195,6.883876323699951
6.804987907409668,7.041635036468506
6.812790870666504,6.776517868041992
6.731161594390869,6.771640300750732
6.760908126831055,6.869348049163818
6.884472846984863,6.694858551025391
6.747182846069336,6.60214900970459
6.656793117523193,6.9551310539245605
6.823511600494385,6.9052629470825195
6.707897186279297,6.8913164138793945
6.898382186889648,6.530437469482422
6.761145114898682,6.8273444175720215
6.689377784729004,6.392144680023193
6.738247394561768,6.77462100982666
6.713566303253174,6.555111408233643
6.8796563148498535,6.664849758148193
6.581140518188477,6.797340393066406
6.772563457489014,6.688360691070557
6.78632926940918,6.581755638122559
6.768749237060547,6.598300933837891
6.693208694458008,6.628696918487549
6.422003746032715,6.688196182250977
6.625983238220215,6.6903252601623535
6.665365695953369,6.785990238189697
6.58828592300415,6.60189151763916
6.477972507476807,6.787609577178955
6.490660190582275,6.608046531677246
6.4951982498168945,6.638699054718018
6.519345283508301,6.529976844787598
6.446627616882324,6.666218280792236
6.4910807609558105,6.651771068572998
6.532632827758789,6.649439811706543
6.568044662475586,6.711993217468262
6.666773796081543,6.492171764373779
6.476956367492676,6.543091297149658
6.247864723205566,6.635128974914551
6.352466106414795,6.5829081535339355
6.486572742462158,6.2718987464904785
6.393258571624756,6.467934608459473
6.298226356506348,6.782148838043213
6.4106879234313965,6.727489471435547
6.166457176208496,6.3022284507751465
6.401641845703125,6.42434549331665
6.547926902770996,6.602492809295654
6.30486536026001,6.443352699279785
6.456063270568848,6.444814682006836
6.245908260345459,6.5515642166137695
6.472165107727051,6.615381717681885
6.323487281799316,6.286051273345947
6.2460174560546875,6.2730560302734375
6.244336128234863,6.280629634857178
6.283595085144043,6.530465126037598
6.252687931060791,6.305316925048828
6.185841083526611,6.303676605224609
6.214457988739014,6.4178571701049805
6.212220191955566,6.042471885681152
6.280993938446045,6.283102512359619
6.234194755554199,6.00823450088501
6.229738235473633,6.397617816925049
6.075601100921631,6.4475297927856445
6.233851909637451,6.280945301055908
6.276864051818848,6.376407623291016
5.928451061248779,6.4410624504089355
6.297835826873779,6.275710582733154
6.222377300262451,6.367767333984375
6.193284511566162,6.337221145629883
5.943751811981201,6.246706962585449
6.18574857711792,6.327164649963379
6.137423992156982,6.122829914093018
6.006402492523193,6.053510665893555
6.263524055480957,6.149834156036377
6.178467750549316,6.02077054977417
6.096978664398193,6.273008823394775
5.9140496253967285,6.412966728210449
5.889537334442139,6.118986129760742
5.908507823944092,5.988146781921387
6.1013264656066895,5.95962381362915
5.84565544128418,6.0225725173950195
5.950843334197998,6.251633167266846
5.974067211151123,5.968185901641846
5.91493558883667,6.186269760131836
5.89335298538208,6.230073928833008
5.957958698272705,5.80179500579834
5.932216644287109,6.103822231292725
5.716266632080078,6.224679946899414
5.886427402496338,6.084847450256348
5.5743608474731445,6.115328311920166
5.9693284034729,6.20435905456543
5.887389183044434,6.215170383453369
5.954777240753174,6.217054843902588
5.860626697540283,6.053901672363281
5.640784740447998,5.672738552093506
5.54956579208374,6.231072425842285
5.84014368057251,6.147670745849609
5.811046123504639,5.913995265960693
5.748724460601807,5.520092010498047
5.710689067840576,6.215158462524414
5.73274040222168,5.951858997344971
5.786734580993652,5.974423408508301
5.653975009918213,5.886057376861572
5.816381931304932,5.638676166534424
5.506153583526611,6.031461238861084
5.534726619720459,6.20965051651001
5.822211265563965,5.819081783294678
5.637458801269531,5.965494155883789
5.680001258850098,5.8061699867248535
5.866349220275879,5.945706367492676
5.705032825469971,6.1298136711120605
5.667622089385986,5.920312881469727
5.453935623168945,5.863683700561523
5.362290382385254,5.9649200439453125
5.4933085441589355,6.085647106170654
5.338697910308838,6.021995544433594
5.261592388153076,5.575279235839844
5.411098957061768,5.993161201477051
5.414697170257568,5.928007125854492
5.551032066345215,5.979501724243164
5.373732566833496,5.601642608642578
5.489533424377441,5.525872230529785
5.513798713684082,5.846235275268555
5.467797756195068,6.098576545715332
5.6815361976623535,5.705658435821533
5.5977091789245605,5.661505699157715
5.209932327270508,5.716446399688721
5.3815813064575195,5.326874732971191
5.157939910888672,5.993142127990723
5.460568904876709,5.704929351806641
5.405874252319336,5.88045072555542
5.378536224365234,5.6187896728515625
5.076994895935059,5.536694049835205
5.226073741912842,6.191416263580322
5.230302333831787,5.9044694900512695
5.221118450164795,5.965627670288086
5.360472679138184,5.706258296966553
5.3407087326049805,5.658138751983643
5.11679220199585,5.549566745758057
5.319896221160889,5.678103923797607
5.2203049659729,5.4625468254089355
5.211630344390869,5.644478797912598
4.956986427307129,5.473453044891357
